,toss_decision,avgTeam1,avgTeam2,avgWckTeam1,avgWckTeam2,team1_toss_win,team1_bat
123,1,0.7584269662921348,0.7528089887640449,0.8333333333333333,1.0,0.0,0
124,1,0.6460674157303371,0.7584269662921348,1.0,0.6666666666666666,0.0,0
125,0,0.7528089887640449,0.8314606741573034,1.0,1.0,1.0,1
126,1,0.797752808988764,0.7078651685393258,1.0,0.8333333333333333,0.0,0
127,0,0.6460674157303371,0.6685393258426966,1.0,0.5,1.0,1
128,0,0.7584269662921348,0.7584269662921348,0.8333333333333333,0.6666666666666666,1.0,1
129,0,0.797752808988764,0.7528089887640449,1.0,1.0,1.0,1
130,1,0.7078651685393258,0.8314606741573034,0.8333333333333333,1.0,0.0,0
131,0,0.6685393258426966,0.7584269662921348,0.5,0.8333333333333333,1.0,1
132,1,0.7584269662921348,0.8314606741573034,0.6666666666666666,1.0,0.0,0
133,1,0.6460674157303371,0.7078651685393258,1.0,0.8333333333333333,0.0,0
134,1,0.8314606741573034,0.7584269662921348,1.0,0.8333333333333333,0.0,0
135,0,0.797752808988764,0.6460674157303371,1.0,1.0,1.0,1
136,0,0.6685393258426966,0.7078651685393258,0.5,0.8333333333333333,1.0,1
137,1,0.7528089887640449,0.7584269662921348,1.0,0.6666666666666666,0.0,0
138,0,0.6460674157303371,0.8314606741573034,1.0,1.0,1.0,1
139,1,0.7584269662921348,0.797752808988764,0.8333333333333333,1.0,0.0,0
140,0,0.7528089887640449,0.6685393258426966,1.0,0.5,1.0,1
141,1,0.7078651685393258,0.7584269662921348,0.8333333333333333,0.8333333333333333,0.0,0
142,0,0.7584269662921348,0.8314606741573034,0.6666666666666666,1.0,1.0,1
143,0,0.7528089887640449,0.6460674157303371,1.0,1.0,1.0,1
144,0,0.6685393258426966,0.797752808988764,0.5,1.0,1.0,1
145,0,0.7078651685393258,0.7584269662921348,0.8333333333333333,0.6666666666666666,1.0,1
146,0,0.8314606741573034,0.6460674157303371,1.0,1.0,1.0,1
147,0,0.7584269662921348,0.797752808988764,0.8333333333333333,1.0,1.0,1
148,0,0.6685393258426966,0.7078651685393258,0.5,0.8333333333333333,1.0,1
149,0,0.7528089887640449,0.7584269662921348,1.0,0.6666666666666666,1.0,1
150,0,0.6460674157303371,0.797752808988764,1.0,1.0,1.0,1
151,0,0.8314606741573034,0.7584269662921348,1.0,0.8333333333333333,1.0,1
152,0,0.7078651685393258,0.6460674157303371,0.8333333333333333,1.0,1.0,1
153,0,0.6685393258426966,0.7528089887640449,0.5,1.0,1.0,1
154,1,0.7584269662921348,0.797752808988764,0.6666666666666666,1.0,0.0,0
155,0,0.7584269662921348,0.7078651685393258,0.8333333333333333,0.8333333333333333,1.0,1
156,0,0.8314606741573034,0.797752808988764,1.0,1.0,1.0,1
157,1,0.6685393258426966,0.7584269662921348,0.5,0.6666666666666666,0.0,0
158,0,0.7528089887640449,0.7078651685393258,1.0,0.8333333333333333,1.0,1
159,1,0.7584269662921348,0.6460674157303371,0.8333333333333333,1.0,0.0,0
160,1,0.797752808988764,0.7584269662921348,1.0,0.6666666666666666,0.0,0
161,0,0.7584269662921348,0.7528089887640449,0.8333333333333333,1.0,1.0,1
162,0,0.6685393258426966,0.8314606741573034,0.5,1.0,1.0,1
163,0,0.6460674157303371,0.7584269662921348,1.0,0.6666666666666666,1.0,1
164,0,0.8314606741573034,0.7528089887640449,1.0,1.0,1.0,1
165,1,0.7078651685393258,0.797752808988764,0.8333333333333333,1.0,0.0,0
166,1,0.7584269662921348,0.7584269662921348,0.8333333333333333,0.6666666666666666,0.0,0
167,0,0.6460674157303371,0.6685393258426966,1.0,0.5,1.0,1
168,1,0.7078651685393258,0.8314606741573034,0.8333333333333333,1.0,0.0,0
169,0,0.797752808988764,0.7528089887640449,1.0,1.0,1.0,1
170,0,0.7584269662921348,0.6685393258426966,0.8333333333333333,0.5,1.0,1
171,0,0.7584269662921348,0.7584269662921348,0.8333333333333333,0.6666666666666666,1.0,1
172,0,0.8314606741573034,0.797752808988764,1.0,1.0,1.0,1
173,0,0.797752808988764,0.7584269662921348,1.0,0.6666666666666666,1.0,1
174,0,0.8314606741573034,0.7584269662921348,1.0,0.8333333333333333,1.0,1
175,0,0.8033707865168539,0.7921348314606741,0.8333333333333333,0.6666666666666666,1.0,1
176,1,0.7865168539325842,0.8314606741573034,0.8333333333333333,0.6666666666666666,0.0,0
177,0,0.8426966292134831,0.797752808988764,0.0,0.8333333333333333,1.0,1
178,0,0.8089887640449438,0.8932584269662921,0.8333333333333333,0.8333333333333333,1.0,1
179,0,0.8089887640449438,0.6123595505617977,0.6666666666666666,0.0,1.0,1
180,0,0.7921348314606741,0.7865168539325842,0.6666666666666666,0.8333333333333333,1.0,1
181,0,0.8089887640449438,0.8314606741573034,0.8333333333333333,0.6666666666666666,1.0,1
182,1,0.797752808988764,0.8932584269662921,0.8333333333333333,0.8333333333333333,0.0,0
183,1,0.8033707865168539,0.8089887640449438,0.8333333333333333,0.6666666666666666,0.0,0
184,0,0.8426966292134831,0.6123595505617977,0.0,0.0,1.0,1
185,1,0.7865168539325842,0.797752808988764,0.8333333333333333,0.8333333333333333,0.0,0
186,1,0.8314606741573034,0.7921348314606741,0.6666666666666666,0.6666666666666666,0.0,0
187,1,0.8932584269662921,0.8426966292134831,0.8333333333333333,0.0,0.0,0
188,0,0.8033707865168539,0.797752808988764,0.8333333333333333,0.8333333333333333,1.0,1
189,1,0.7865168539325842,0.8089887640449438,0.8333333333333333,0.6666666666666666,0.0,0
190,1,0.6123595505617977,0.8089887640449438,0.0,0.8333333333333333,0.0,0
191,1,0.8314606741573034,0.7921348314606741,0.6666666666666666,0.6666666666666666,0.0,0
192,1,0.8033707865168539,0.8426966292134831,0.8333333333333333,0.0,0.0,0
193,0,0.7865168539325842,0.8089887640449438,0.8333333333333333,0.8333333333333333,1.0,1
194,0,0.6123595505617977,0.8932584269662921,0.0,0.8333333333333333,1.0,1
195,1,0.8426966292134831,0.7921348314606741,0.0,0.6666666666666666,0.0,0
